first,second
deswegen,nicht
nicht,böse
böse,sein
sein,kinder
kinder,müssen
müssen,mit
mit,erwachsenen
erwachsenen,nachsichtig
nachsichtig,sein
sein,aber
aber,wir
wir,die
die,das
das,leben
leben,verstehen
verstehen,lachen
lachen,natürlich
natürlich,über
über,zahlen
zahlen,eigentlich
eigentlich,hätte
hätte,ich
ich,die
die,geschichte
geschichte,viel
viel,lieber
lieber,wie
wie,ein
ein,märchen
märchen,begonnen
begonnen,ich
ich,hätte
hätte,gerne
gerne,gesagt
gesagt,es
es,war
war,einmal
einmal,ein
ein,kleiner
kleiner,prinz
prinz,der
der,lebte
lebte,auf
auf,einem
einem,planeten
planeten,der
der,war
war,kaum
kaum,größer
größer,als
als,er
er,selbst
selbst,und
und,er
er,brauchte
brauchte,einen
einen,freund
freund,für
für,all
all,jene
jene,die
die,das
das,leben
leben,verstehen
verstehen,würde
würde,das
das,viel
viel,richtiger
richtiger,klingen
klingen,denn
denn,ich
ich,mag
mag,es
es,nicht
nicht,wenn
wenn,man
man,mein
mein,buch
buch,so
so,leichtfertig
leichtfertig,liest
liest,es
es,betrübt
betrübt,mich
mich,von
von,diesen
diesen,erinnerungen
erinnerungen,zu
zu,erzählen
erzählen,es
es,ist
ist,schon
schon,sechs
sechs,jahre
jahre,her
her,dass
dass,mein
mein,freund
freund,mit
mit,seinem
seinem,schaf
schaf,verschwunden
verschwunden,ist
ist,wenn
wenn,ich
ich,versuche
versuche,ihn
ihn,hier
hier,zu
zu,beschreiben
beschreiben,dann
dann,deswegen
deswegen,um
um,ihn
ihn,nicht
nicht,zu
zu,vergessen
vergessen,es
es,ist
ist,traurig
traurig,einen
einen,freund
freund,zu
zu,vergessen
vergessen,nicht
nicht,jeder
jeder,hatte
hatte,schon
schon,mal
mal,einen
einen,freund
freund,ich
ich,könnte
könnte,wie
wie,die
die,großen
großen,werden
werden,die
die,sich
sich,nur
nur,noch
noch,für
für,zahlen
zahlen,interessieren
interessieren,doch
doch,deswegen
deswegen,habe
habe,ich
ich,mir
mir,ja
ja,den
den,farbkasten
farbkasten,und
und,die
die,stifte
stifte,gekauft
gekauft,es
es,ist
ist,schwierig
schwierig,in
in,meinem
meinem,alter
alter,wieder
wieder,mit
mit,dem
dem,zeichnen
zeichnen,anzufangen
anzufangen,wenn
wenn,man
man,nie
nie,etwas
etwas,anderes
anderes,versucht
versucht,hat
hat,als
als,mit
mit,sechs
sechs,jahren
jahren,eine
eine,geschlossene
geschlossene,und
und,eine
eine,offene
offene,riesenschlange
riesenschlange,zu
zu,malen
malen,ich
ich,werde
werde,natürlich
natürlich,versuchen
versuchen,die
die,abbildungen
