quadrigram,freq
"('finden', 'und', 'ich', 'lernte')",1
"('und', 'ich', 'lernte', 'flugzeuge')",1
"('ich', 'lernte', 'flugzeuge', 'zu')",1
"('lernte', 'flugzeuge', 'zu', 'steuern')",1
"('flugzeuge', 'zu', 'steuern', 'ich')",1
"('zu', 'steuern', 'ich', 'flog')",1
"('steuern', 'ich', 'flog', 'ein')",1
"('ich', 'flog', 'ein', 'bisschen')",1
"('flog', 'ein', 'bisschen', 'in')",1
"('ein', 'bisschen', 'in', 'der')",1
"('bisschen', 'in', 'der', 'welt')",1
"('in', 'der', 'welt', 'herum')",1
"('der', 'welt', 'herum', 'und')",1
"('welt', 'herum', 'und', 'es')",1
"('herum', 'und', 'es', 'stimmt')",1
"('und', 'es', 'stimmt', 'dabei')",1
"('es', 'stimmt', 'dabei', 'half')",1
"('stimmt', 'dabei', 'half', 'mir')",1
"('dabei', 'half', 'mir', 'die')",1
"('half', 'mir', 'die', 'geographie')",1
"('mir', 'die', 'geographie', 'auf')",1
"('die', 'geographie', 'auf', 'den')",1
"('geographie', 'auf', 'den', 'ersten')",1
"('auf', 'den', 'ersten', 'blick')",1
"('den', 'ersten', 'blick', 'konnte')",1
"('ersten', 'blick', 'konnte', 'ich')",1
"('blick', 'konnte', 'ich', 'china')",1
"('konnte', 'ich', 'china', 'von')",1
"('ich', 'china', 'von', 'arizona')",1
"('china', 'von', 'arizona', 'unterscheiden')",1
"('von', 'arizona', 'unterscheiden', 'das')",1
"('arizona', 'unterscheiden', 'das', 'ist')",1
"('unterscheiden', 'das', 'ist', 'sehr')",1
"('das', 'ist', 'sehr', 'nützlich')",1
"('ist', 'sehr', 'nützlich', 'wenn')",1
"('sehr', 'nützlich', 'wenn', 'man')",1
"('nützlich', 'wenn', 'man', 'sich')",1
"('wenn', 'man', 'sich', 'in')",1
"('man', 'sich', 'in', 'der')",1
"('sich', 'in', 'der', 'nacht')",1
"('in', 'der', 'nacht', 'verirrt')",1
"('der', 'nacht', 'verirrt', 'hat')",1
"('nacht', 'verirrt', 'hat', 'so')",1
"('verirrt', 'hat', 'so', 'hatte')",1
"('hat', 'so', 'hatte', 'ich')",1
"('so', 'hatte', 'ich', 'im')",1
"('hatte', 'ich', 'im', 'laufe')",1
"('ich', 'im', 'laufe', 'meines')",1
"('im', 'laufe', 'meines', 'lebens')",1
"('laufe', 'meines', 'lebens', 'mit')",1
"('meines', 'lebens', 'mit', 'vielen')",1
"('lebens', 'mit', 'vielen', 'ernsthaften')",1
"('mit', 'vielen', 'ernsthaften', 'leuten')",1
"('vielen', 'ernsthaften', 'leuten', 'zu')",1
"('ernsthaften', 'leuten', 'zu', 'tun')",1
"('leuten', 'zu', 'tun', 'ich')",1
"('zu', 'tun', 'ich', 'habe')",1
"('tun', 'ich', 'habe', 'viel')",1
"('ich', 'habe', 'viel', 'bei')",1
"('habe', 'viel', 'bei', 'erwachsenen')",1
"('viel', 'bei', 'erwachsenen', 'gelebt')",1
"('bei', 'erwachsenen', 'gelebt', 'und')",1
"('erwachsenen', 'gelebt', 'und', 'ich')",1
"('gelebt', 'und', 'ich', 'habe')",1
"('und', 'ich', 'habe', 'sie')",1
"('ich', 'habe', 'sie', 'ganz')",1
"('habe', 'sie', 'ganz', 'aus')",1
"('sie', 'ganz', 'aus', 'der')",1
"('ganz', 'aus', 'der', 'nähe')",1
"('aus', 'der', 'nähe', 'betrachtet')",1
"('der', 'nähe', 'betrachtet', 'aber')",1
"('nähe', 'betrachtet', 'aber', 'meine')",1
"('betrachtet', 'aber', 'meine', 'meinung')",1
"('aber', 'meine', 'meinung', 'über')",1
"('meine', 'meinung', 'über', 'sie')",1
"('meinung', 'über', 'sie', 'hat')",1
"('über', 'sie', 'hat', 'sich')",1
"('sie', 'hat', 'sich', 'deshalb')",1
"('hat', 'sich', 'deshalb', 'nicht')",1
"('sich', 'deshalb', 'nicht', 'sonderlich')",1
"('deshalb', 'nicht', 'sonderlich', 'verbessert')",1
"('nicht', 'sonderlich', 'verbessert', 'wenn')",1
"('sonderlich', 'verbessert', 'wenn', 'ich')",1
"('verbessert', 'wenn', 'ich', 'einen')",1
"('wenn', 'ich', 'einen', 'traf')",1
"('ich', 'einen', 'traf', 'der')",1
"('einen', 'traf', 'der', 'mir')",1
"('traf', 'der', 'mir', 'ein')",1
"('der', 'mir', 'ein', 'bisschen')",1
"('mir', 'ein', 'bisschen', 'heller')",1
"('ein', 'bisschen', 'heller', 'vorkam')",1
"('bisschen', 'heller', 'vorkam', 'dann')",1
"('heller', 'vorkam', 'dann', 'testete')",1
"('vorkam', 'dann', 'testete', 'ich')",1
"('dann', 'testete', 'ich', 'ihn')",1
"('testete', 'ich', 'ihn', 'mit')",1
"('ich', 'ihn', 'mit', 'meiner')",1
"('ihn', 'mit', 'meiner', 'zeichnung')",1
"('mit', 'meiner', 'zeichnung', 'nr')",1
